tab 	er_samples
sample_dip	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_type	sample_bed_dip	er_location_name	sample_height	magic_method_codes	sample_azimuth	sample_class
-63	88.0	This study		Z30	Z30.1		58	unknown	34.6	SO-CMD-NORTH	41.5	
-21	88.0	This study		Z30	Z30.2		58	unknown	35	SO-CMD-NORTH	158.5	
-26	88.0	This study		Z30	Z30.3		58	unknown	36.1	SO-CMD-NORTH	250.5	
-50	88.0	This study		Z30	Z30.4		58	unknown	36.2	SO-CMD-NORTH	311.5	
-46	88.0	This study		Z30	Z30.5		58	unknown	36.4	SO-CMD-NORTH	313.5	
-39	88.0	This study		Z30	Z30.6		58	unknown	36.5	SO-CMD-NORTH	315.5	
-20	88.0	This study		Z30	Z30.8		58	unknown	39.6	SO-CMD-NORTH	11.5	
-48	88.0	This study		Z31	Z31.1		58	unknown	65.6	SO-CMD-NORTH	277.5	
-49	88.0	This study		Z31	Z31.2		58	unknown	65.7	SO-CMD-NORTH	328.5	
-27	88.0	This study		Z31	Z31.3		58	unknown	65.9	SO-CMD-NORTH	281.5	
-46	88.0	This study		Z31	Z31.4		58	unknown	66.6	SO-CMD-NORTH	329.5	
-56	88.0	This study		Z31	Z31.5		58	unknown	66.7	SO-CMD-NORTH	325.5	
-26	88.0	This study		Z31	Z31.6		58	unknown	67.6	SO-CMD-NORTH	49.5	
-30	88.0	This study		Z31	Z31.7		58	unknown	68.4	SO-CMD-NORTH	261.5	
-24	88.0	This study		Z31	Z31.8		58	unknown	69.4	SO-CMD-NORTH	52.5	
-14	84.0	This study		Z32	Z32.1		55	unknown	114.6	SO-CMD-NORTH	292.5	
-32	84.0	This study		Z32	Z32.2		55	unknown	114.9	SO-CMD-NORTH	289.5	
-30	84.0	This study		Z32	Z32.3		55	unknown	114.9	SO-CMD-NORTH	295.5	
-16	84.0	This study		Z32	Z32.4		55	unknown	115	SO-CMD-NORTH	293.5	
-25	84.0	This study		Z32	Z32.5		55	unknown	115	SO-CMD-NORTH	240.5	
-36	84.0	This study		Z32	Z32.6		55	unknown	114.7	SO-CMD-NORTH	286.5	
-20	84.0	This study		Z32	Z32.7		55	unknown	114.7	SO-CMD-NORTH	243.5	
-41	84.0	This study		Z32	Z32.8		55	unknown	115.1	SO-CMD-NORTH	279.5	
-38	84.0	This study		Z32	Z32.9		55	unknown	115.3	SO-CMD-NORTH	312.5	
-36	84.0	This study		Z33	Z33.1		55	unknown	127.7	SO-CMD-NORTH	272.5	
-40	84.0	This study		Z33	Z33.2		55	unknown	127.9	SO-CMD-NORTH	277.5	
-36	84.0	This study		Z33	Z33.3		55	unknown	128	SO-CMD-NORTH	293.5	
-40	84.0	This study		Z33	Z33.4		55	unknown	127.6	SO-CMD-NORTH	274.5	
-23	84.0	This study		Z33	Z33.5		55	unknown	127.6	SO-CMD-NORTH	293.5	
-45	84.0	This study		Z33	Z33.6		55	unknown	127.5	SO-CMD-NORTH	305.5	
-32	84.0	This study		Z33	Z33.7		55	unknown	127.2	SO-CMD-NORTH	307.5	
-17	84.0	This study		Z33	Z33.8		55	unknown	128.4	SO-CMD-NORTH	217.5	
-25	84.0	This study		Z34	Z34.1		55	unknown	133.2	SO-CMD-NORTH	273.5	
-14	84.0	This study		Z34	Z34.2		55	unknown	133.2	SO-CMD-NORTH	294.5	
-15	84.0	This study		Z34	Z34.3		55	unknown	133.9	SO-CMD-NORTH	83.5	
-39	84.0	This study		Z34	Z34.4		55	unknown	133	SO-CMD-NORTH	267.5	
-37	84.0	This study		Z34	Z34.5		55	unknown	133.2	SO-CMD-NORTH	311.5	
-34	84.0	This study		Z34	Z34.6		55	unknown	133.4	SO-CMD-NORTH	285.5	
-29	84.0	This study		Z34	Z34.7		55	unknown	133.6	SO-CMD-NORTH	327.5	
-27	84.0	This study		Z34	Z34.8		55	unknown	133.6	SO-CMD-NORTH	102.5	
-20	84.0	This study		Z34	Z34.9		55	unknown	133.3	SO-CMD-NORTH	278.5	
-32	84.0	This study		Z34	Z34.10		55	unknown	133.3	SO-CMD-NORTH	262.5	
-83	84.0	This study		Z35	Z35.1		55	unknown	148.16	SO-CMD-NORTH	23.5	
-37	84.0	This study		Z35	Z35.2		55	unknown	148.22	SO-CMD-NORTH	79.5	
-31	84.0	This study		Z35	Z35.3		55	unknown	148.32	SO-CMD-NORTH	41.5	
-50	84.0	This study		Z35	Z35.4		55	unknown	248.23	SO-CMD-NORTH	56.5	
-82	84.0	This study		Z35	Z35.5		55	unknown	148.25	SO-CMD-NORTH	5.5	
-20	84.0	This study		Z35	Z35.6		55	unknown	148.26	SO-CMD-NORTH	2.5	
-22	84.0	This study		Z35	Z35.7		55	unknown	148.35	SO-CMD-NORTH	14.5	
-60	89.0	This study		Z36	Z36.1		47	unknown	265.2	SO-CMD-NORTH	75.5	
-41	89.0	This study		Z36	Z36.2		47	unknown	265.4	SO-CMD-NORTH	62.5	
-59	89.0	This study		Z36	Z36.3		47	unknown	265.8	SO-CMD-NORTH	92.5	
-60	89.0	This study		Z36	Z36.4		47	unknown	265.4	SO-CMD-NORTH	61.5	
-22	89.0	This study		Z36	Z36.5		47	unknown	265.5	SO-CMD-NORTH	60.5	
-38	89.0	This study		Z36	Z36.6		47	unknown	265.5	SO-CMD-NORTH	79.5	
-54	89.0	This study		Z36	Z36.7		47	unknown	265.8	SO-CMD-NORTH	55.5	
-36	89.0	This study		Z36	Z36.8		47	unknown	266	SO-CMD-NORTH	95.5	
-41	89.0	This study		Z37	Z37.1		47	unknown	276.4	SO-CMD-NORTH	117.5	
-30	89.0	This study		Z37	Z37.2		47	unknown	276.4	SO-CMD-NORTH	52.5	
-53	89.0	This study		Z37	Z37.3		47	unknown	276.2	SO-CMD-NORTH	92.5	
-50	89.0	This study		Z37	Z37.4		47	unknown	276.4	SO-CMD-NORTH	95.5	
-51	89.0	This study		Z37	Z37.5		47	unknown	276.3	SO-CMD-NORTH	110.5	
-61	89.0	This study		Z37	Z37.6		47	unknown	276.6	SO-CMD-NORTH	88.5	
-60	89.0	This study		Z37	Z37.7		47	unknown	276.3	SO-CMD-NORTH	139.5	
-38	89.0	This study		Z37	Z37.8		47	unknown	276	SO-CMD-NORTH	67.5	
-49	89.0	This study		Z37	Z37.9		47	unknown	277	SO-CMD-NORTH	105.5	
-44	87.0	This study		Z38	Z38.1		46	unknown	517.9	SO-CMD-NORTH	71.5	
-50	87.0	This study		Z38	Z38.2		46	unknown	517.8	SO-CMD-NORTH	127.5	
-60	87.0	This study		Z38	Z38.3		46	unknown	517.9	SO-CMD-NORTH	35.5	
-36	87.0	This study		Z38	Z38.4		46	unknown	518	SO-CMD-NORTH	34.5	
-44	87.0	This study		Z38	Z38.5		46	unknown	517.8	SO-CMD-NORTH	54.5	
-31	87.0	This study		Z38	Z38.6		46	unknown	317.7	SO-CMD-NORTH	50.5	
-59	87.0	This study		Z38	Z38.7		46	unknown	517.7	SO-CMD-NORTH	3.5	
-23	87.0	This study		Z38	Z38.8		46	unknown	517.8	SO-CMD-NORTH	354.5	
-56	87.0	This study		Z38	Z38.9		46	unknown	517.9	SO-CMD-NORTH	82.5	
-36	87.0	This study		Z38	Z38.10		46	unknown	517.8	SO-CMD-NORTH	36.5	
-36	87.0	This study		Z39	Z39.1		46	unknown	531	SO-CMD-NORTH	30.5	
-28	87.0	This study		Z39	Z39.2		46	unknown	531	SO-CMD-NORTH	18.5	
-23	87.0	This study		Z39	Z39.3		46	unknown	531	SO-CMD-NORTH	31.5	
-24	87.0	This study		Z39	Z39.4		46	unknown	531	SO-CMD-NORTH	31.5	
-25	87.0	This study		Z39	Z39.5		46	unknown	531	SO-CMD-NORTH	20.5	
-26	87.0	This study		Z39	Z39.6		46	unknown	531	SO-CMD-NORTH	25.5	
-36	87.0	This study		Z40	Z40.1		46	unknown	534.2	SO-CMD-NORTH	1.5	
-31	87.0	This study		Z40	Z40.2		46	unknown	533.2	SO-CMD-NORTH	10.5	
