tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study	47.10221	95.42039	Khukh_Davaa	Region of sampled Teel Formation basalt flows	47.06277	95.42075
>>>>>>>>>>
tab 	er_samples
sample_dip	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_lat	sample_bed_dip	er_location_name	sample_height	magic_method_codes	sample_type	sample_azimuth	sample_lon	sample_class
-63	88.0	This study	Rhyolite	Z30	Z30.1	47.10038	58	Khukh_Davaa	34.6	SO-CMD-NORTH	Lava Flow	41.5	95.3755	Extrusive
-21	88.0	This study	Rhyolite	Z30	Z30.2	47.10038	58	Khukh_Davaa	35	SO-CMD-NORTH	Lava Flow	158.5	95.3755	Extrusive
-26	88.0	This study	Rhyolite	Z30	Z30.3	47.10038	58	Khukh_Davaa	36.1	SO-CMD-NORTH	Lava Flow	250.5	95.3755	Extrusive
-50	88.0	This study	Rhyolite	Z30	Z30.4	47.10038	58	Khukh_Davaa	36.2	SO-CMD-NORTH	Lava Flow	311.5	95.3755	Extrusive
-46	88.0	This study	Rhyolite	Z30	Z30.5	47.10038	58	Khukh_Davaa	36.4	SO-CMD-NORTH	Lava Flow	313.5	95.3755	Extrusive
-39	88.0	This study	Rhyolite	Z30	Z30.6	47.10038	58	Khukh_Davaa	36.5	SO-CMD-NORTH	Lava Flow	315.5	95.3755	Extrusive
-20	88.0	This study	Rhyolite	Z30	Z30.8	47.10038	58	Khukh_Davaa	39.6	SO-CMD-NORTH	Lava Flow	11.5	95.3755	Extrusive
-48	88.0	This study	Basalt	Z31	Z31.1	47.10049	58	Khukh_Davaa	65.6	SO-CMD-NORTH	Lava Flow	277.5	95.37604	Extrusive
-49	88.0	This study	Basalt	Z31	Z31.2	47.10049	58	Khukh_Davaa	65.7	SO-CMD-NORTH	Lava Flow	328.5	95.37604	Extrusive
-27	88.0	This study	Basalt	Z31	Z31.3	47.10049	58	Khukh_Davaa	65.9	SO-CMD-NORTH	Lava Flow	281.5	95.37604	Extrusive
-46	88.0	This study	Basalt	Z31	Z31.4	47.10049	58	Khukh_Davaa	66.6	SO-CMD-NORTH	Lava Flow	329.5	95.37604	Extrusive
-56	88.0	This study	Basalt	Z31	Z31.5	47.10049	58	Khukh_Davaa	66.7	SO-CMD-NORTH	Lava Flow	325.5	95.37604	Extrusive
-26	88.0	This study	Basalt	Z31	Z31.6	47.10049	58	Khukh_Davaa	67.6	SO-CMD-NORTH	Lava Flow	49.5	95.37604	Extrusive
