tab 	er_samples											
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	Z30.1	Z30	SO-CMD-NORTH	41.5	58	88		-63	34.6		
This study	unknown	Z30.2	Z30	SO-CMD-NORTH	158.5	58	88		-21	35		
This study	unknown	Z30.3	Z30	SO-CMD-NORTH	250.5	58	88		-26	36.1		
This study	unknown	Z30.4	Z30	SO-CMD-NORTH	-48.5	58	88		-50	36.2		
This study	unknown	Z30.5	Z30	SO-CMD-NORTH	-46.5	58	88		-46	36.4		
This study	unknown	Z30.6	Z30	SO-CMD-NORTH	-44.5	58	88		-39	36.5		
This study	unknown	Z30.8	Z30	SO-CMD-NORTH	11.5	58	88		-20	39.6		
This study	unknown	Z31.1	Z31	SO-CMD-NORTH	-82.5	58	88		-48	65.6		
This study	unknown	Z31.2	Z31	SO-CMD-NORTH	-31.5	58	88		-49	65.7		
This study	unknown	Z31.3	Z31	SO-CMD-NORTH	-78.5	58	88		-27	65.9		
This study	unknown	Z31.4	Z31	SO-CMD-NORTH	-30.5	58	88		-46	66.6		
This study	unknown	Z31.5	Z31	SO-CMD-NORTH	-34.5	58	88		-56	66.7		
This study	unknown	Z31.6	Z31	SO-CMD-NORTH	49.5	58	88		-26	67.6		
This study	unknown	Z31.7	Z31	SO-CMD-NORTH	261.5	58	88		-30	68.4		
This study	unknown	Z31.8	Z31	SO-CMD-NORTH	52.5	58	88		-24	69.4		
This study	unknown	Z32.1	Z32	SO-CMD-NORTH	-67.5	55	84		-14	114.6		
This study	unknown	Z32.2	Z32	SO-CMD-NORTH	-70.5	55	84		-32	114.9		
This study	unknown	Z32.3	Z32	SO-CMD-NORTH	-64.5	55	84		-30	114.9		
This study	unknown	Z32.4	Z32	SO-CMD-NORTH	-66.5	55	84		-16	115		
This study	unknown	Z32.5	Z32	SO-CMD-NORTH	240.5	55	84		-25	115		
This study	unknown	Z32.6	Z32	SO-CMD-NORTH	-73.5	55	84		-36	114.7		
