tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	5.7	16.8		g	-21.7	5.81e-09	1	1	1.77e-10	5.58e-10	4.07e-11	273	0	0	273
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	4.8	19.7		g	-30.9	5.71e-09	2	1	1.83e-10	4.42e-10	3.24e-11	273	0	0	77
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	20.4		g	-35.6	7.00e-09	3	1	1.14e-10	1.79e-10	6.16e-11	273	0	0	373.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-10-22 14:39:55	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.5	020.5		g	-36.8	7.63e-09	4	1	2.36e-10	5.63e-10	5.30e-11	273	0	0	423.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-10-27 15:08:38	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.9	020.7		g	-37.7	7.85e-09	5	1	2.92e-10	6.21e-10	3.55e-11	273	0	0	473.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-10-28 12:31:56	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.7	022.7		g	-37.4	7.54e-09	6	1	3.51e-10	7.98e-10	2.20e-10	273	0	0	523.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-10-28 19:26:33	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	7.8	025.4		g	-39.2	7.22e-09	7	1	4.83e-10	8.68e-10	2.99e-11	273	0	0	573.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-10-29 19:39:59	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.8	021.0		g	-40.7	6.51e-09	8	1	2.21e-10	3.79e-10	2.88e-11	273	0	0	623.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-03 15:59:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	5.1	022.1		g	-42.1	5.91e-09	9	1	2.60e-10	4.70e-10	2.43e-11	273	0	0	673.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-04 10:55:10	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.3	022.1		g	-42.8	5.51e-09	10	1	1.85e-10	3.72e-10	1.99e-11	273	0	0	698.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-10 11:38:27	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.2	023.1		g	-47.7	5.05e-09	11	1	2.92e-10	4.44e-10	1.72e-10	273	0	0	723.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-10 21:04:55	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.4	023.5		g	-46.3	4.42e-09	12	1	9.93e-11	2.42e-10	3.64e-11	273	0	0	748.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-13 10:31:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.7	029.5		g	-48.0	3.94e-09	13	1	1.09e-10	3.07e-10	3.56e-11	273	0	0	773.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-17 16:15:52	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	028.7		b	-47.7	3.40e-09	14	1	9.79e-11	1.89e-10	1.88e-10	273	0	0	788.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-11-24 17:05:28	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	030.3		g	-52.7	3.60e-09	15	1	5.60e-11	1.10e-10	1.96e-10	273	0	0	803.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-12-01 15:44:12	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.3	031.7		g	-51.2	3.22e-09	16	1	6.44e-11	1.12e-10	2.27e-11	273	0	0	818.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-12-01 23:34:58	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	034.8		g	-51.6	3.18e-09	17	1	7.13e-11	1.09e-10	2.75e-11	273	0	0	823.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-12-05 12:30:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	033.9		g	-53.7	3.00e-09	18	1	4.86e-11	7.52e-11	2.52e-11	273	0	0	828.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-12-06 12:26:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.9	034.8		g	-53.8	2.85e-09	19	1	2.15e-10	3.18e-10	2.48e-11	273	0	0	833.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-12-08 14:08:32	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	036.6		g	-56.0	2.69e-09	20	1	3.74e-11	5.58e-11	1.56e-11	273	0	0	838.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2014-12-08 21:00:30	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	034.9		g	-56.8	2.75e-09	21	1	2.80e-11	3.23e-11	1.34e-11	273	0	0	843.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-01-12 09:48:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	034.8		g	-56.5	2.64e-09	22	1	3.41e-11	6.42e-11	2.81e-11	273	0	0	846.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-01-14 13:08:29	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	035.9		g	-57.7	2.68e-09	23	1	3.45e-11	5.96e-11	3.26e-11	273	0	0	849.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-01-15 13:25:19	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	036.9		g	-58.1	2.58e-09	24	1	3.81e-11	6.51e-11	2.61e-11	273	0	0	852.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-01-18 11:54:05	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	038.4		g	-58.2	2.57e-09	25	1	3.39e-11	7.82e-11	1.82e-11	273	0	0	855.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-01-20 12:06:52	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	039.3		g	-59.1	2.55e-09	26	1	4.46e-11	6.00e-11	1.54e-11	273	0	0	858.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-10 17:09:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	039.2		g	-59.4	2.51e-09	27	1	3.29e-11	4.11e-11	1.43e-11	273	0	0	863.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-11 17:06:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	050.3		g	-60.9	2.25e-09	28	1	3.58e-11	3.37e-11	2.30e-11	273	0	0	883.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-12 15:19:49	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	049.8		g	-63.6	2.07e-09	29	1	3.00e-11	4.03e-11	1.67e-11	273	0	0	903.0
This study	unknown	Z30.1	Z30	Z30.1a	Z30.1a:LP-DIR-T	hargrave 2015-02-13 17:38:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	072.3		g	-67.6	1.83e-09	30	1	5.07e-11	3.67e-11	1.29e-11	273	0	0	923.0
